cell_id,row,col,lon,lat,Post,D_i,deaths,dist_fence_km,dist_gap_km,Post_x_Di,Post_x_fence,Post_x_gap,sector,apprehensions,log_apprehensions
30_65,30,65,-112.318,32.142,0.0,-2.488612411123804,0,43.32082154800469,96.81982607119278,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_65,30,65,-112.318,32.142,1.0,-2.488612411123804,3,43.32082154800469,96.81982607119278,-2.488612411123804,43.32082154800469,96.81982607119278,tucson,125527,11.740276153857035
30_66,30,66,-112.274,32.142,0.0,-2.6306983915397333,0,44.74206581457458,94.01452391645928,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_66,30,66,-112.274,32.142,1.0,-2.6306983915397333,1,44.74206581457458,94.01452391645928,-2.6306983915397333,44.74206581457458,94.01452391645928,tucson,125527,11.740276153857035
30_67,30,67,-112.23,32.142,0.0,-2.4339491177351724,0,46.13681399753397,91.31307978387557,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_67,30,67,-112.23,32.142,1.0,-2.4339491177351724,5,46.13681399753397,91.31307978387557,-2.4339491177351724,46.13681399753397,91.31307978387557,tucson,125527,11.740276153857035
30_68,30,68,-112.186,32.142,0.0,-1.4211145907340335,1,47.579765506422845,88.72497296344912,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_68,30,68,-112.186,32.142,1.0,-1.4211145907340335,0,47.579765506422845,88.72497296344912,-1.4211145907340335,47.579765506422845,88.72497296344912,tucson,125527,11.740276153857035
30_69,30,69,-112.142,32.142,0.0,-0.7441235704938114,0,49.001429846244555,86.2603978286477,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_69,30,69,-112.142,32.142,1.0,-0.7441235704938114,4,49.001429846244555,86.2603978286477,-0.7441235704938114,49.001429846244555,86.2603978286477,tucson,125527,11.740276153857035
30_70,30,70,-112.098,32.142,0.0,-2.917569376394944,0,50.420237056545865,83.9302298016628,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_70,30,70,-112.098,32.142,1.0,-2.917569376394944,1,50.420237056545865,83.9302298016628,-2.917569376394944,50.420237056545865,83.9302298016628,tucson,125527,11.740276153857035
30_71,30,71,-112.054,32.142,0.0,-2.877287608258867,2,51.83206677836823,81.74595598581666,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_71,30,71,-112.054,32.142,1.0,-2.877287608258867,0,51.83206677836823,81.74595598581666,-2.877287608258867,51.83206677836823,81.74595598581666,tucson,125527,11.740276153857035
30_72,30,72,-112.01,32.142,0.0,-2.591172952183861,1,53.26059459571134,79.71956217221839,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_72,30,72,-112.01,32.142,1.0,-2.591172952183861,1,53.26059459571134,79.71956217221839,-2.591172952183861,53.26059459571134,79.71956217221839,tucson,125527,11.740276153857035
30_74,30,74,-111.922,32.142,0.0,-2.3639955813740263,0,56.12029020199563,76.18980889329616,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_74,30,74,-111.922,32.142,1.0,-2.3639955813740263,1,56.12029020199563,76.18980889329616,-2.3639955813740263,56.12029020199563,76.18980889329616,tucson,125527,11.740276153857035
30_75,30,75,-111.878,32.142,0.0,-1.8454341020123524,0,57.56346694704955,74.71115047220216,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_75,30,75,-111.878,32.142,1.0,-1.8454341020123524,4,57.56346694704955,74.71115047220216,-1.8454341020123524,57.56346694704955,74.71115047220216,tucson,125527,11.740276153857035
30_77,30,77,-111.79,32.142,0.0,-0.45191201378414014,0,60.42728434805456,72.38472837348829,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_77,30,77,-111.79,32.142,1.0,-0.45191201378414014,1,60.42728434805456,72.38472837348829,-0.45191201378414014,60.42728434805456,72.38472837348829,tucson,125527,11.740276153857035
30_78,30,78,-111.74600000000001,32.142,0.0,-2.5013496807147098,0,61.873684224077714,71.55746645045389,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_78,30,78,-111.74600000000001,32.142,1.0,-2.5013496807147098,2,61.873684224077714,71.55746645045389,-2.5013496807147098,61.873684224077714,71.55746645045389,tucson,125527,11.740276153857035
30_79,30,79,-111.702,32.142,0.0,-3.3505368763421894,1,63.31263048388579,70.96531397661738,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_79,30,79,-111.702,32.142,1.0,-3.3505368763421894,2,63.31263048388579,70.96531397661738,-3.3505368763421894,63.31263048388579,70.96531397661738,tucson,125527,11.740276153857035
30_81,30,81,-111.614,32.142,0.0,-3.4528667232993153,1,66.18680918937346,70.50766230223486,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_81,30,81,-111.614,32.142,1.0,-3.4528667232993153,0,66.18680918937346,70.50766230223486,-3.4528667232993153,66.18680918937346,70.50766230223486,tucson,125527,11.740276153857035
30_82,30,82,-111.57000000000001,32.142,0.0,-3.7784913444605275,0,67.63117441934006,70.64686103401681,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_82,30,82,-111.57000000000001,32.142,1.0,-3.7784913444605275,1,67.63117441934006,70.64686103401681,-3.7784913444605275,67.63117441934006,70.64686103401681,tucson,125527,11.740276153857035
30_83,30,83,-111.526,32.142,0.0,-4.011740643769563,0,69.07655895738478,71.03032803440995,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_83,30,83,-111.526,32.142,1.0,-4.011740643769563,2,69.07655895738478,71.03032803440995,-4.011740643769563,69.07655895738478,71.03032803440995,tucson,125527,11.740276153857035
30_84,30,84,-111.482,32.142,0.0,-4.404318099496074,2,70.52338014934399,71.65413795221595,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_84,30,84,-111.482,32.142,1.0,-4.404318099496074,2,70.52338014934399,71.65413795221595,-4.404318099496074,70.52338014934399,71.65413795221595,tucson,125527,11.740276153857035
30_85,30,85,-111.438,32.142,0.0,-4.335186862627729,0,71.98218516345968,72.51208481636709,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_85,30,85,-111.438,32.142,1.0,-4.335186862627729,2,71.98218516345968,72.51208481636709,-4.335186862627729,71.98218516345968,72.51208481636709,tucson,125527,11.740276153857035
30_86,30,86,-111.394,32.142,0.0,-3.9890269761689425,0,73.4176096682574,73.59597778147855,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_86,30,86,-111.394,32.142,1.0,-3.9890269761689425,1,73.4176096682574,73.59597778147855,-3.9890269761689425,73.4176096682574,73.59597778147855,tucson,125527,11.740276153857035
30_87,30,87,-111.35000000000001,32.142,0.0,-4.979683903377018,0,74.87530785771018,74.89600530890078,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_87,30,87,-111.35000000000001,32.142,1.0,-4.979683903377018,2,74.87530785771018,74.89600530890078,-4.979683903377018,74.87530785771018,74.89600530890078,tucson,125527,11.740276153857035
30_88,30,88,-111.306,32.142,0.0,-4.006161108411124,2,76.32946869920494,76.36135756954694,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_88,30,88,-111.306,32.142,1.0,-4.006161108411124,1,76.32946869920494,76.36135756954694,-4.006161108411124,76.32946869920494,76.36135756954694,tucson,125527,11.740276153857035
30_89,30,89,-111.262,32.142,0.0,-4.5841942690375435,2,77.79111907764755,77.99531934968498,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_89,30,89,-111.262,32.142,1.0,-4.5841942690375435,0,77.79111907764755,77.99531934968498,-4.5841942690375435,77.79111907764755,77.99531934968498,tucson,125527,11.740276153857035
30_90,30,90,-111.218,32.142,0.0,-4.8245562543436264,0,79.234140741935,79.81329265812347,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_90,30,90,-111.218,32.142,1.0,-4.8245562543436264,1,79.234140741935,79.81329265812347,-4.8245562543436264,79.234140741935,79.81329265812347,tucson,125527,11.740276153857035
30_91,30,91,-111.174,32.142,0.0,-5.138299681303518,0,80.58539142496699,81.22463980280345,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_91,30,91,-111.174,32.142,1.0,-5.138299681303518,1,80.58539142496699,81.22463980280345,-5.138299681303518,80.58539142496699,81.22463980280345,tucson,125527,11.740276153857035
30_92,30,92,-111.13000000000001,32.142,0.0,-5.249859279755708,0,82.1258554446328,82.33352438744353,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_92,30,92,-111.13000000000001,32.142,1.0,-5.249859279755708,1,82.1258554446328,82.33352438744353,-5.249859279755708,82.1258554446328,82.33352438744353,tucson,125527,11.740276153857035
30_93,30,93,-111.086,32.142,0.0,-4.784041066086165,0,83.6254476834709,83.6354111622448,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_93,30,93,-111.086,32.142,1.0,-4.784041066086165,1,83.6254476834709,83.6354111622448,-4.784041066086165,83.6254476834709,83.6354111622448,tucson,125527,11.740276153857035
30_95,30,95,-110.998,32.142,0.0,-4.961008941668195,3,86.61148703590074,86.54812943731538,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_95,30,95,-110.998,32.142,1.0,-4.961008941668195,1,86.61148703590074,86.54812943731538,-4.961008941668195,86.61148703590074,86.54812943731538,tucson,125527,11.740276153857035
30_97,30,97,-110.91,32.142,0.0,-5.458655855971003,0,89.4387378210464,89.50313832319306,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_97,30,97,-110.91,32.142,1.0,-5.458655855971003,1,89.4387378210464,89.50313832319306,-5.458655855971003,89.4387378210464,89.50313832319306,tucson,125527,11.740276153857035
30_98,30,98,-110.866,32.142,0.0,-5.675171484035779,1,89.5834854794371,90.24062484187813,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_98,30,98,-110.866,32.142,1.0,-5.675171484035779,1,89.5834854794371,90.24062484187813,-5.675171484035779,89.5834854794371,90.24062484187813,tucson,125527,11.740276153857035
30_120,30,120,-109.898,32.142,0.0,-3.5355202437709545,0,89.55913566537511,100.2457522056997,-0.0,0.0,0.0,tucson,431012,12.973891210925675
30_120,30,120,-109.898,32.142,1.0,-3.5355202437709545,1,89.55913566537511,100.2457522056997,-3.5355202437709545,89.55913566537511,100.2457522056997,tucson,125527,11.740276153857035
31_43,31,43,-113.286,32.186,0.0,1.8907891486047155,1,16.861025264628637,175.02347513120887,0.0,0.0,0.0,yuma,84933,11.349617989357553
31_43,31,43,-113.286,32.186,1.0,1.8907891486047155,0,16.861025264628637,175.02347513120887,1.8907891486047155,16.861025264628637,175.02347513120887,yuma,14620,9.59014573330377
31_44,31,44,-113.242,32.186,0.0,1.3452272574802484,0,18.391055320255848,171.27378725137226,0.0,0.0,0.0,yuma,84933,11.349617989357553
31_44,31,44,-113.242,32.186,1.0,1.3452272574802484,4,18.391055320255848,171.27378725137226,1.3452272574802484,18.391055320255848,171.27378725137226,yuma,14620,9.59014573330377
31_46,31,46,-113.154,32.186,0.0,0.3120605331562758,0,21.193946066086966,163.83487038953643,0.0,0.0,0.0,yuma,84933,11.349617989357553
31_46,31,46,-113.154,32.186,1.0,0.3120605331562758,1,21.193946066086966,163.83487038953643,0.3120605331562758,21.193946066086966,163.83487038953643,yuma,14620,9.59014573330377
31_47,31,47,-113.11,32.186,0.0,0.09623008365967844,0,22.641571230157137,160.14843393819027,0.0,0.0,0.0,yuma,84933,11.349617989357553
31_47,31,47,-113.11,32.186,1.0,0.09623008365967844,1,22.641571230157137,160.14843393819027,0.09623008365967844,22.641571230157137,160.14843393819027,yuma,14620,9.59014573330377
31_48,31,48,-113.066,32.186,0.0,-0.20475224100906597,0,24.086915245676796,156.48607919202303,-0.0,0.0,0.0,yuma,84933,11.349617989357553
31_48,31,48,-113.066,32.186,1.0,-0.20475224100906597,2,24.086915245676796,156.48607919202303,-0.20475224100906597,24.086915245676796,156.48607919202303,yuma,14620,9.59014573330377
31_49,31,49,-113.022,32.186,0.0,-0.47222290306252546,0,25.476348037711187,152.84952934090248,-0.0,0.0,0.0,yuma,84933,11.349617989357553
31_49,31,49,-113.022,32.186,1.0,-0.47222290306252546,7,25.476348037711187,152.84952934090248,-0.47222290306252546,25.476348037711187,152.84952934090248,yuma,14620,9.59014573330377
31_50,31,50,-112.97800000000001,32.186,0.0,-0.008397358214362716,0,26.863405955528574,149.24066289972436,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_50,31,50,-112.97800000000001,32.186,1.0,-0.008397358214362716,11,26.863405955528574,149.24066289972436,-0.008397358214362716,26.863405955528574,149.24066289972436,tucson,125527,11.740276153857035
31_51,31,51,-112.934,32.186,0.0,0.17559375131675597,0,28.340289464826814,145.66152963837007,0.0,0.0,0.0,tucson,431012,12.973891210925675
31_51,31,51,-112.934,32.186,1.0,0.17559375131675597,1,28.340289464826814,145.66152963837007,0.17559375131675597,28.340289464826814,145.66152963837007,tucson,125527,11.740276153857035
31_52,31,52,-112.89,32.186,0.0,-1.2064127282470702,0,29.693393744819435,142.1143681729652,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_52,31,52,-112.89,32.186,1.0,-1.2064127282470702,3,29.693393744819435,142.1143681729652,-1.2064127282470702,29.693393744819435,142.1143681729652,tucson,125527,11.740276153857035
31_53,31,53,-112.846,32.186,0.0,-1.8130047996850551,4,31.06861405236183,138.6016253505221,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_53,31,53,-112.846,32.186,1.0,-1.8130047996850551,2,31.06861405236183,138.6016253505221,-1.8130047996850551,31.06861405236183,138.6016253505221,tucson,125527,11.740276153857035
31_54,31,54,-112.802,32.186,0.0,-2.3395802150139837,1,32.53707819311664,135.12597755023083,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_54,31,54,-112.802,32.186,1.0,-2.3395802150139837,2,32.53707819311664,135.12597755023083,-2.3395802150139837,32.53707819311664,135.12597755023083,tucson,125527,11.740276153857035
31_55,31,55,-112.75800000000001,32.186,0.0,-2.818156761523067,0,33.95259390049855,131.69035400615456,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_55,31,55,-112.75800000000001,32.186,1.0,-2.818156761523067,1,33.95259390049855,131.69035400615456,-2.818156761523067,33.95259390049855,131.69035400615456,tucson,125527,11.740276153857035
31_56,31,56,-112.714,32.186,0.0,-1.926308719878014,5,35.222189280603835,128.29796222436053,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_56,31,56,-112.714,32.186,1.0,-1.926308719878014,4,35.222189280603835,128.29796222436053,-1.926308719878014,35.222189280603835,128.29796222436053,tucson,125527,11.740276153857035
31_57,31,57,-112.67,32.186,0.0,-2.477285189538914,1,36.631559721055794,124.95231551744608,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_57,31,57,-112.67,32.186,1.0,-2.477285189538914,2,36.631559721055794,124.95231551744608,-2.477285189538914,36.631559721055794,124.95231551744608,tucson,125527,11.740276153857035
31_58,31,58,-112.626,32.186,0.0,-2.539022923630273,4,38.04059405156906,121.65726260506909,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_58,31,58,-112.626,32.186,1.0,-2.539022923630273,1,38.04059405156906,121.65726260506909,-2.539022923630273,38.04059405156906,121.65726260506909,tucson,125527,11.740276153857035
31_59,31,59,-112.58200000000001,32.186,0.0,-2.894318955931794,3,39.45010284015523,118.41701912261418,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_59,31,59,-112.58200000000001,32.186,1.0,-2.894318955931794,2,39.45010284015523,118.41701912261418,-2.894318955931794,39.45010284015523,118.41701912261418,tucson,125527,11.740276153857035
31_60,31,60,-112.538,32.186,0.0,-2.5708970185643447,2,41.079167153423775,115.23620073221723,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_60,31,60,-112.538,32.186,1.0,-2.5708970185643447,1,41.079167153423775,115.23620073221723,-2.5708970185643447,41.079167153423775,115.23620073221723,tucson,125527,11.740276153857035
31_61,31,61,-112.494,32.186,0.0,-2.8631129224022898,2,42.20505048084464,112.11985733034331,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_61,31,61,-112.494,32.186,1.0,-2.8631129224022898,1,42.20505048084464,112.11985733034331,-2.8631129224022898,42.20505048084464,112.11985733034331,tucson,125527,11.740276153857035
31_62,31,62,-112.45,32.186,0.0,-2.6903788038606877,2,43.68399001513105,109.07350758158442,-0.0,0.0,0.0,tucson,431012,12.973891210925675
